2	34.39	9
2	23.81	6
2	25.07	11
2	21.39	10
2	35.89	6
1	25.31	6
1	35.35	6
1	23.56	10
2	26.68	6
2	27.99	6
1	30.97	5
1	29.87	7
2	27.44	5
1	29.27	7
1	27.61	9
1	26.06	5
2	22.58	6
2	27.61	8
2	21.49	8
1	25.27	5
1	23.49	5
2	29.68	8
2	30.96	5
1	34.65	6
1	35.38	6
1	35.9	5
1	24.74	5
1	34.92	7
2	23.66	5
1	24.27	5
2	28.56	6
2	22.86	7
1	22.36	6
2	25.02	7
2	32.5	8
2	25.64	7
2	34.11	7
2	31.54	6
1	26.72	6
1	22.68	5
2	30.73	5
1	35.06	9
2	25.03	5
2	18.42	6
1	28.37	6
2	19.64	9
1	21.62	5
2	20.53	11
1	21.85	6
1	33.63	5
2	23.84	9
2	20.95	11
2	24.86	10
1	24.13	15
2	27.64	20
1	21.19	5
2	28.03	15
2	21.69	12
2	24.66	10
2	27.18	20
1	30.51	11
2	19.98	9
1	25.65	15
1	31.06	13
1	24.19	9
2	25.76	14
2	25.26	13
2	24.58	13
2	27.32	11
2	29.02	18
2	35.35	17
2	26.37	10
2	18.31	14
2	18.52	10
2	29.32	7
2	24.05	16
2	19.96	16
2	20.25	12
2	18.74	16
1	30.13	11
2	35.56	11
2	35.08	18
2	24.85	16
2	23.17	12
1	26.16	16
1	33.71	13
2	18.16	20
1	25.8	13
1	20.28	20
2	26.84	16
1	32.91	13
2	23.46	10
2	24	11
1	33.76	6
2	20.28	13
2	25.9	12
2	22.05	13
1	30.53	13
2	18.5	18
2	28.79	18
2	24.79	18
2	18.54	12
2	26.98	19
2	20.09	19
2	24.27	9
2	26.34	10
2	31.08	13
1	32.79	7
2	18.26	13
2	19.93	11
2	25.67	15
2	19.11	10
1	18.89	12
2	20.47	17
2	32.56	13
2	22.8	10
1	28.81	10
1	19.41	8
2	25.43	14
2	28.47	19
2	34.59	15
1	29.71	19
1	22.53	13
1	34.25	5
2	18.98	15
2	33.23	8
1	23.25	19
2	27.96	8
2	19.27	14
2	20.8	15
1	23.78	18
1	26.52	10
1	19.69	16
1	21.92	14
2	18.46	16
2	21.34	17
1	23.95	14
2	30.01	9
2	34.97	12
1	35.23	11
1	25.07	15
2	18.58	12
2	25.65	9
2	26.44	10
1	29.97	13
1	28.29	20
1	29.77	12
2	28.04	15
1	28.85	18
2	23.06	11
1	25.79	17
2	33.28	14
1	28.55	9
2	26.73	12
1	25.27	10
2	18.65	17
1	23.96	19
2	32.92	13
2	23.45	13
2	34.92	11
1	22.9	15
2	23.84	17
2	19.04	13
1	27.88	13
1	28.87	10
1	22.94	9
