2	34.39	5
2	23.81	6
2	25.07	10
2	21.39	9
2	35.89	5
1	25.31	6
1	35.35	7
1	23.56	8
2	26.68	5
2	27.99	5
1	30.97	6
1	29.87	5
2	27.44	5
1	29.27	8
1	27.61	8
1	26.06	5
2	22.58	6
2	27.61	10
2	21.49	17
1	25.27	5
1	23.49	5
2	29.68	7
2	30.96	8
1	34.65	7
1	35.38	6
1	35.9	5
1	24.74	6
1	34.92	6
2	23.66	5
1	24.27	5
2	28.56	7
2	22.86	5
1	22.36	6
2	25.02	7
2	32.5	7
2	25.64	7
2	34.11	11
2	31.54	7
1	26.72	11
1	22.68	5
2	30.73	5
1	35.06	5
2	25.03	5
2	18.42	6
1	28.37	5
2	19.64	5
1	21.62	5
2	20.53	12
1	21.85	7
1	33.63	5
2	23.84	10
2	20.95	14
2	24.86	6
1	24.13	14
2	27.64	17
1	21.19	5
2	28.03	12
2	21.69	11
2	24.66	8
2	27.18	14
1	30.51	12
2	19.98	8
1	25.65	11
1	31.06	18
1	24.19	8
2	25.76	8
2	25.26	11
2	24.58	10
2	27.32	10
2	29.02	17
2	35.35	7
2	26.37	12
2	18.31	16
2	18.52	5
2	29.32	17
2	24.05	10
2	19.96	13
2	20.25	13
2	18.74	14
1	30.13	11
2	35.56	13
2	35.08	13
2	24.85	14
2	23.17	15
1	26.16	14
1	33.71	14
2	18.16	9
1	25.8	12
1	20.28	17
2	26.84	14
1	32.91	9
2	23.46	10
2	24	9
1	33.76	10
2	20.28	15
2	25.9	10
2	22.05	13
1	30.53	15
2	18.5	19
2	28.79	19
2	24.79	16
2	18.54	8
2	26.98	16
2	20.09	11
2	24.27	8
2	26.34	7
2	31.08	14
1	32.79	14
2	18.26	13
2	19.93	8
2	25.67	20
2	19.11	9
1	18.89	9
2	20.47	11
2	32.56	18
2	22.8	10
1	28.81	10
1	19.41	16
2	25.43	13
2	28.47	20
2	34.59	14
1	29.71	12
1	22.53	14
1	34.25	5
2	18.98	16
2	33.23	12
1	23.25	10
2	27.96	7
2	19.27	13
2	20.8	16
1	23.78	14
1	26.52	14
1	19.69	17
1	21.92	14
2	18.46	13
2	21.34	17
1	23.95	19
2	30.01	11
2	34.97	10
1	35.23	15
1	25.07	17
2	18.58	15
2	25.65	14
2	26.44	10
1	29.97	17
1	28.29	20
1	29.77	14
2	28.04	12
1	28.85	13
2	23.06	11
1	25.79	17
2	33.28	14
1	28.55	8
2	26.73	8
1	25.27	10
2	18.65	20
1	23.96	13
2	32.92	13
2	23.45	13
2	34.92	10
1	22.9	13
2	23.84	18
2	19.04	12
1	27.88	17
1	28.87	15
1	22.94	10
